Id,MemberId,LoanAmount,TransactionDate,MaturityDate,LoanStatus,InitialInterestAmount,ProductId,RepaymentAmount,RepaymentDate,RepaymentType
213,64,2000.0,2024-12-17 16:27:15.112348+00:00,2025-01-14 00:00:00+00:00,fully_settled,370.0,4,2370.0,2025-02-03 14:10:39.830962+00:00,allocation_repayment
212,53,3000.0,2024-12-17 05:59:59.827382+00:00,2025-01-14 00:00:00+00:00,fully_settled,555.0,4,3555.0,2025-02-03 14:10:56.900552+00:00,allocation_repayment
479,74,7000.0,2025-02-03 14:18:52.718195+00:00,2025-02-14 00:00:00+00:00,fully_settled,1295.0,4,1800.0,2025-02-03 14:50:00.328174+00:00,self_loan_repayment
247,23,2000.0,2024-12-28 08:20:48.589711+00:00,2025-01-28 00:00:00+00:00,fully_settled,250.0,1,2239.0,2025-01-31 16:44:36.457513+00:00,self_loan_repayment
551,188,2000.0,2025-02-12 19:44:50.771384+00:00,2025-02-28 00:00:00+00:00,fully_settled,370.0,4,500.0,2025-02-13 00:59:34.100346+00:00,self_loan_repayment
551,188,2000.0,2025-02-12 19:44:50.771384+00:00,2025-02-28 00:00:00+00:00,fully_settled,370.0,4,100.0,2025-02-14 00:24:59.601270+00:00,self_loan_repayment
366,49,1000.0,2025-01-18 12:12:29.517643+00:00,2025-02-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-02-17 09:04:14.836078+00:00,allocation_repayment
434,46,3000.0,2025-02-02 09:41:10.078748+00:00,2025-02-14 00:00:00+00:00,fully_settled,555.0,4,3555.0,2025-02-17 13:17:03.877369+00:00,allocation_repayment
551,188,2000.0,2025-02-12 19:44:50.771384+00:00,2025-02-28 00:00:00+00:00,fully_settled,370.0,4,1770.0,2025-02-14 00:17:51.013690+00:00,self_loan_repayment
421,68,3000.0,2025-01-29 14:38:05.050788+00:00,2025-02-14 00:00:00+00:00,fully_settled,555.0,4,5.0,2025-02-14 14:07:00.511206+00:00,self_loan_repayment
193,16,2000.0,2024-12-06 07:46:50.759606+00:00,2024-12-28 00:00:00+00:00,fully_settled,250.0,1,200.0,2025-02-05 10:57:20.964355+00:00,self_loan_repayment
559,23,500.0,2025-02-13 09:42:57.429452+00:00,2025-02-28 00:00:00+00:00,fully_settled,62.5,1,562.5,2025-02-13 09:51:15.653389+00:00,self_loan_repayment
372,3,500.0,2025-01-19 15:09:06.337469+00:00,2025-01-28 00:00:00+00:00,fully_settled,62.5,1,562.5,2025-02-16 16:08:22.218009+00:00,self_loan_repayment
369,3,50.0,2025-01-19 10:50:55.234861+00:00,2025-01-28 00:00:00+00:00,fully_settled,6.25,1,56.25,2025-02-16 16:11:06.258564+00:00,self_loan_repayment
583,178,300.0,2025-02-14 09:44:38.142201+00:00,2025-02-28 00:00:00+00:00,fully_settled,55.5,4,355.5,2025-02-17 20:06:24.176919+00:00,self_loan_repayment
649,282,350.0,2025-02-19 08:35:50.355945+00:00,2025-02-28 00:00:00+00:00,overdue,64.75,4,100.0,2025-03-04 08:41:05.776917+00:00,self_loan_repayment
432,68,2000.0,2025-02-01 16:33:06.229078+00:00,2025-02-14 00:00:00+00:00,fully_settled,370.0,4,2370.0,2025-02-27 13:10:14.445724+00:00,allocation_repayment
432,68,2000.0,2025-02-01 16:33:06.229078+00:00,2025-02-14 00:00:00+00:00,fully_settled,370.0,4,2370.0,2025-02-14 13:25:22.840837+00:00,self_loan_repayment
624,22,1000.0,2025-02-18 06:26:21.964526+00:00,2025-02-28 00:00:00+00:00,fully_settled,125.0,1,1000.0,2025-02-20 10:07:31.684352+00:00,self_loan_repayment
